car_id,name,year,price,overall_score,driving_score,comfort_score,interior_score,tech_score,storage_score,economical_score,good_value_score,litres_on_100km,seats,transmission,horsepower,fuel
61,Kia Optima LX Sedan (2017),2017,22200,70,60,60,70,80,80,60,70,10,5,shiftable automatic,185,petrol
62,Nissan Altima 2.5 SR Sedan (2020),2020,25700,76,75,75,75,80,80,80,70,9,5,continuous automatic,188,petrol
63,Nissan Altima 2.5 SL Sedan (2020),2020,30240,76,75,75,75,80,80,80,70,9,5,continuous automatic,188,petrol
64,Nissan Altima VC-T Platinum Sedan (2020),2020,35180,76,79,75,77,80,80,80,70,10,5,continuous automatic,248,petrol
65,Nissan Maxima 3.5 S Sedan (2020),2020,34250,74,75,80,70,70,70,65,70,12,5,continuous automatic,300,petrol
66,Nissan Maxima 3.5 SL Sedan (2020),2020,38640,74,75,80,72,72,70,65,70,12,5,continuous automatic,300,petrol
67,Nissan Maxima Platinum Sedan (2020),2020,41640,74,75,80,75,75,70,65,70,12,5,continuous automatic,300,petrol
68,Volvo S60 T6 Momentum Sedan (2020),2020,40550,79,85,75,75,80,75,70,75,11,5,shiftable automatic,316,petrol
69,Volvo S60 T5 Momentum Sedan (2020),2020,36050,79,85,75,75,80,75,70,75,10,5,shiftable automatic,250,petrol
70,Volvo S60 T6 Insciption Sedan (2020),2020,47400,79,85,75,75,80,75,70,75,11,5,shiftable automatic,316,petrol
71,Volvo S60 T8 R-Design Twin Engine Hybrid Sedan (2020),2020,55400,79,87,76,77,80,75,77,75,9,5,shiftable automatic,400,hybrid
72,Volvo S60 T5 R-Design Sedan (2019),2019,41900,79,85,75,75,80,75,72,75,10,5,shiftable automatic,250,petrol
73,Hyundai Sonata SE Sedan (2020),2020,23600,80,75,75,80,85,85,70,85,9,5,shiftable automatic,191,petrol
74,Hyundai Sonata Limited Sedan (2020),2020,33500,80,75,75,80,87,85,70,85,9,5,shiftable automatic,180,petrol
75,Hyundai Sonata Sport Sedan (2019),2019,25000,77,80,80,80,75,80,70,82,10,5,shiftable automatic,185,petrol
76,Hyundai Sonata Eco Sedan (2019),2019,22850,77,80,80,80,75,80,70,82,9,5,automated manual,178,hybrid
77,Hyundai Sonata Limited 2.0T Sedan (2018),2018,31900,77,80,80,80,75,80,70,82,11,5,shiftable automatic,245,petrol
78,Honda Accord Touring Sedan (2020),2020,36100,83,85,80,80,80,90,70,75,11,5,shiftable automatic,252,petrol
79,Honda Accord LX Sedan (2020),2020,23870,83,83,80,80,80,90,72,75,9,5,continuous automatic,192,petrol
80,Honda Accord EX Sedan (2020),2020,27770,83,83,80,80,82,90,72,75,9,5,continuous automatic,192,petrol
81,Honda Accord Sport Sedan (2019),2019,26180,83,85,80,80,80,95,72,75,9,5,continuous automatic,192,petrol
82,Honda Accord EX-L Sedan (2018),2018,29970,83,85,80,80,82,95,72,75,9,5,continuous automatic,192,petrol
83,Chevrolet Malibu L Sedan (2020),2020,22095,76,80,80,70,81,65,72,70,9,5,continuous automatic,160,petrol
84,Chevrolet Malibu RS Sedan (2020),2020,24220,76,80,80,70,83,65,72,70,9,5,continuous automatic,160,petrol
85,Chevrolet Malibu Premier Sedan (2020),2020,33320,76,80,80,75,83,65,72,70,11,5,shiftable automatic,250,petrol
86,Chevrolet Malibu Hybrid Sedan (2019),2019,28220,76,80,80,70,81,65,72,70,6,5,1-speed direct drive,122,hybrid
87,Ford Taurus SE Sedan (2019),2019,27800,68,70,65,60,75,80,75,68,14,5,shiftable automatic,288,biofuels
88,Ford Taurus SHO Sedan (2019),2019,42975,68,70,65,70,78,80,75,68,15,5,shiftable automatic,365,petrol
89,Ford Taurus Limited Sedan (2019),2019,37310,68,70,65,65,75,80,75,68,14,5,shiftable automatic,288,biofuels
90,Volkswagen Arteon SE Hatchback (2020),2020,35995,75,75,80,75,70,80,70,70,11,5,shiftable automatic,268,petrol
91,Volkswagen Arteon SEL Premium R-Line Hatchback (2020),2020,47695,75,75,82,80,75,80,70,70,12,5,shiftable automatic,268,petrol
92,Volkswagen Arteon SE Hatchback (2019),2019,35845,75,75,80,75,70,90,70,70,11,5,shiftable automatic,268,petrol
93,Volkswagen Arteon SEL Premium Hatchback (2019),2019,44945,75,75,80,79,75,90,70,70,12,5,shiftable automatic,268,petrol
94,Subaru Legacy Sedan (2020),2020,22745,74,70,80,80,65,80,75,75,9,5,continuous automatic,182,petrol
95,Subaru Legacy Touring XT Sedan (2020),2020,35895,74,74,80,85,73,80,75,75,11,5,continuous automatic,260,petrol
96,Subaru Legacy 2.5i Sedan (2019),2019,22545,70,70,75,75,65,80,72,75,10,5,continuous automatic,175,petrol
97,Subaru Legacy 3.6R Limited Sedan (2019),2019,31545,75,70,75,80,75,80,72,75,12,5,continuous automatic,256,petrol
